Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC288516853,18.233154,80.658462,157.4878,True,True,True,True,1.0,1.0
TIC233120979,18.235283,62.858243,,True,True,True,True,1.0,1.0
TIC356978132,18.252114,56.878102,207.1637,True,True,True,True,1.0,1.0
TIC229608594,18.300804,74.466535,84.3789,True,True,True,True,1.0,1.0
TIC406855039,18.324701,71.248626,240.3211,True,True,True,True,1.0,1.0
TIC233688779,18.359573,62.369002,139.6395,True,True,True,True,1.0,1.0
TIC356867115,18.390836,71.581748,91.1087,True,True,True,True,1.0,1.0
TIC233720539,18.425286,63.488103,628.338,True,True,True,True,1.0,1.0
TIC233721037,18.42627,64.636881,204.4112,True,True,True,True,1.0,1.0
TIC367855829,18.457876,73.264575,173.1242,True,True,True,True,1.0,1.0
TIC353782445,18.462526,55.755753,143.6245,True,True,True,True,1.0,1.0
TIC1551345500,18.486201,55.313107,,True,True,True,True,1.0,1.0
TIC233735068,18.498457,61.049501,,True,True,True,True,1.0,1.0
TIC288631580,18.528346,82.305949,122.9302,True,True,True,True,1.0,1.0
TIC298663873,18.529575,56.650679,117.0796,True,True,True,True,1.0,1.0
TIC298666530,18.559994,58.205529,151.805,True,True,True,True,1.0,1.0
TIC229715760,18.599302,70.160757,,True,True,True,True,1.0,1.0
TIC359496368,18.606733,55.391787,36.7616,True,True,True,True,1.0,1.0
TIC288636342,18.630957,78.61111,344.4712,True,True,True,True,1.0,1.0
TIC288636599,18.649633,79.23835,376.3643,True,True,True,True,1.0,1.0
TIC229742722,18.655451,69.522873,225.8458,True,True,True,True,1.0,1.0
TIC229747848,18.688445,70.290054,148.0977,True,True,True,True,1.0,1.0
TIC229750058,18.711945,66.303112,,True,True,True,True,1.0,1.0
TIC229650439,18.728252,74.937833,110.8672,True,True,True,True,1.0,1.0
TIC232635922,18.742419,54.949899,,True,True,True,True,1.0,1.0
TIC233541860,18.746525,62.685644,44.4101,True,True,True,True,1.0,1.0
TIC232641326,18.763281,56.381701,650.9145,True,True,True,True,1.0,1.0
TIC48018596,18.771746,50.492466,126.7411,True,True,True,True,1.0,1.0
TIC424391516,18.771843,75.303367,244.242,True,True,True,True,1.0,1.0
TIC232650365,18.784514,54.910682,,True,True,True,True,1.0,1.0
TIC288735205,18.806678,79.256476,,True,True,True,True,1.0,1.0
TIC229770036,18.811557,70.840191,102.0096,True,True,True,True,1.0,1.0
TIC394029948,18.815309,78.568946,183.2878,True,True,True,True,1.0,1.0
TIC48188920,18.828054,48.098942,,True,True,True,False,1.0,0.9893617021276596
TIC232679662,18.831636,55.266393,,True,True,True,True,1.0,1.0
TIC1717732429,18.831636,55.26639,893.017,True,True,True,True,1.0,1.0
TIC233602827,18.849149,64.419466,,True,True,True,True,1.0,1.0
